raw_name,canonical_name,raw_count
A*STAR SIFBI,A*STAR SIFBI,1
AGH University of Krakow,AGH University of Krakow,4
AGH,AGH University of Krakow,2
Akademia Górniczo-hutnicza,AGH University of Krakow,1
AGH University of Kraków,AGH University of Krakow,1
ACC Cyfronet AGH,AGH University of Krakow,1
AGH University,AGH University of Krakow,1
AI-Dev Solutions ApS,AI-Dev Solutions ApS,1
AI|ffinity,AI|ffinity,1
AMREF international university,AMREF international university,1
Aalborg University,Aalborg University,3
Aalto University,Aalto University,42
Aalto university,Aalto University,8
Aalto,Aalto University,5
Aalto University School of Science,Aalto University,1
Finnish Geospatial Research Institute and Aalto University,Aalto University,1
Aalto Universtiy,Aalto University,1
Aarhus university,Aarhus University,1
Africa Health Research Institute,Africa Health Research Institute,1
AHRI,Africa Health Research Institute,1
Alex Ekwueme Federal University Teaching Hospital Abakaliki,Alex Ekwueme Federal University Teaching Hospital Abakaliki,1
Amrec,Amrec,1
Arcada University of Applied Sciences,Arcada University of Applied Sciences,1
Arcada UAS,Arcada University of Applied Sciences,1
Ascentia sp. z o. o.,Ascentia sp. z o. o.,1
Asia pacific university,Asia pacific university,1
Barcelona Supercomputing Center,Barcelona Supercomputing Center,1
Bingham University,Bingham University,1
Blekinge Institute of Technology,Blekinge Institute of Technology,1
Bundesanstalt fur materialforschung und prufung,Bundesanstalt fur materialforschung und prufung,1
CINECA,CINECA,5
Cineca,CINECA,1
CONICET,CONICET,1
CSC – IT Center for Science,CSC – IT Center for Science,1
CSC - IT Center for Science,CSC – IT Center for Science,1
CSC,CSC – IT Center for Science,1
Capital City University,Capital City University,1
Centre for Theoretical Physics - PAN,Centre for Theoretical Physics - PAN,1
Centrum Badań Kosmicznych Polskiej Akademii Nauk,Centrum Badań Kosmicznych Polskiej Akademii Nauk,1
Chalmers,Chalmers University of Technology,7
Chalmers University of Technology,Chalmers University of Technology,5
Chalmers University,Chalmers University of Technology,1
Charité,Charité,2
Berliner Institut für Gesundheitsforschung (BIH) @ Charité   QUEST – Center for Responsible Research,Charité,1
Code for Africa,Code for Africa,1
CodeRefinery,CodeRefinery,1
Danish Cancer Institute,Danish Cancer Institute,2
Data Phonics,Data Phonics,1
Denmark,Denmark,1
Department of Botany,Department of Botany,1
Department of Health - County Government of Homa Bay bay,Department of Health - County Government of Homa Bay bay,1
Diglossia,Diglossia,1
ECMWF,ECMWF,4
European Centre for Medium-Range Weather Forecasts,ECMWF,1
Ecmwf,ECMWF,1
"ECMWF, research department & University of Maryland",ECMWF,1
Ekiti State University,Ekiti State University,1
Equinor,Equinor,1
European Environment Agency,European Environment Agency,2
European Synchrotron Radiation Facility (ESRF),European Synchrotron Radiation Facility (ESRF),1
"Expanded Programme on Immunisation, Ministry of Public Health, Cameroon","Expanded Programme on Immunisation, Ministry of Public Health, Cameroon",1
Expert Analytics AS,Expert Analytics AS,1
FernUniversität in Hagen,FernUniversität in Hagen,1
Florida International University,Florida International University,1
Freelancer,Freelancer,1
Geological Survey of Finland (GTK),Geological Survey of Finland (GTK),1
DKFZ,German Cancer Research Center (DKFZ),1
Ghana FELTP,Ghana FELTP,1
HZB,Helmholtz-Zentrum Berlin (HZB),1
"ICIM, Facultad de Medicina, Universidad del Desarrollo","ICIM, Facultad de Medicina, Universidad del Desarrollo",1
IDEAS Research Institute,IDEAS Research Institute,1
IFJ PAN,IFJ PAN,2
"Institute of Nuclear Physics PAN, Kraków",IFJ PAN,1
Instytutem od nuclear physics PAN,IFJ PAN,1
IFJPAN,IFJ PAN,1
Institute of Nuclear Physics Polish Academy of Sciences,IFJ PAN,1
IIT kanpur,IIT Kanpur,1
INDIAN INSTITUTE OF TECHNOLOGY KHARAGPUR,IIT Kharagpur,1
Icelandic Met Ofiice,Icelandic Met Ofiice,1
Iconic University,Iconic University,1
Imperial College London,Imperial College London,6
"Imperial College, London and University of California, Berkeley",Imperial College London,1
Imperial,Imperial College London,1
Independent Researcher,Independent Researcher,1
"Indian Institute of Information Technology , Allahabad",Indian Institute of Information Technology Allahabad,1
Indian Institute of Information Technology Dharwad,Indian Institute of Information Technology Dharwad,1
Institut Pasteur of Cote d'Ivoire,Institut Pasteur of Cote d'Ivoire,1
Institut Widya Pratama,Institut Widya Pratama,1
"Institut de Ciències del Mar (ICM-CSIC), Spain","Institut de Ciències del Mar (ICM-CSIC), Spain",1
"Institute of Bioorganic Chemistry, Polish Academy of Sciences","Institute of Bioorganic Chemistry, Polish Academy of Sciences",1
The Institute of Cancer Research,Institute of Cancer Research,14
Institute of Cancer Research,Institute of Cancer Research,13
Institute of Cancer research,Institute of Cancer Research,2
Institute of cancer research,Institute of Cancer Research,2
ICR,Institute of Cancer Research,2
Institute of Cancer Research London,Institute of Cancer Research,1
RMH,Institute of Cancer Research,1
Institute of Fundamental Technological Research Polish Academy of Sciences,Institute of Fundamental Technological Research Polish Academy of Sciences,1
Institute of Physics PAS,Institute of Physics PAS,1
Institute of Psychology Polish Academy of Sciences,Institute of Psychology Polish Academy of Sciences,1
Institute of Virology,Institute of Virology,1
"Institute of organic Chemistry, polish academy of sciences","Institute of organic Chemistry, polish academy of sciences",1
İzmir Institute of Technology,Izmir Institute of Technology,1
"JAIN(Deemed-to-be) University, School of Science, Bangalore, India",JAIN University,2
Jagiellonian University in Krakow,Jagiellonian University,1
Jagiellonian University,Jagiellonian University,1
James Lind Institute,James Lind Institute,1
KAMPALA INTERNATIONAL UNIVERSITY,KAMPALA INTERNATIONAL UNIVERSITY,1
KEMRI Wellcome Trust Research Programme,KEMRI Wellcome Trust Research Programme,1
